Event,Season,Sex,Medal,sno,ID,Age,Height,Weight,Year
"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",Summer,F,Gold,134478.0,67693.0,28.0,162.0,55.0,2000.0
"Shooting Women's Sporting Pistol, 25 metres",Summer,F,Gold,118641.0,60022.0,28.0,163.0,63.0,2000.0
Shooting Women's Trap,Summer,F,Gold,147126.0,73842.0,31.0,169.0,76.0,2008.0
"Short Track Speed Skating Women's 1,000 metres",Winter,F,Gold,145400.0,73248.5,21.5,165.0,57.0,2004.0
"Short Track Speed Skating Women's 1,500 metres",Winter,F,Gold,189001.0,94858.0,17.5,165.0,60.0,2008.0
"Short Track Speed Skating Women's 3,000 metres Relay",Winter,F,Gold,114545.0,57957.5,18.0,165.0,56.0,2002.0
Short Track Speed Skating Women's 500 metres,Winter,F,Gold,245148.0,122765.0,26.0,163.0,58.0,2002.0
Skeleton Women's Skeleton,Winter,F,Gold,222627.5,111599.0,26.0,167.5,57.0,2008.0
"Ski Jumping Women's Normal Hill, Individual",Winter,F,Gold,253776.0,127078.0,22.0,171.0,62.0,2014.0
Snowboarding Women's Boardercross,Winter,F,Gold,200413.0,100633.0,30.0,171.0,65.0,2010.0
Snowboarding Women's Giant Slalom,Winter,F,Gold,205606.0,103216.0,20.0,165.0,61.0,1998.0
Snowboarding Women's Halfpipe,Winter,F,Gold,66777.0,34163.0,20.0,163.0,60.0,2006.0
Snowboarding Women's Parallel Giant Slalom,Winter,F,Gold,143331.5,72047.0,26.0,171.5,72.0,2008.0
Snowboarding Women's Parallel Slalom,Winter,F,Gold,59565.0,30509.0,26.0,168.0,60.0,2014.0
Snowboarding Women's Slopestyle,Winter,F,Gold,6812.0,3823.0,23.0,160.0,54.0,2014.0
Softball Women's Softball,Summer,F,Gold,136016.0,68408.5,25.5,171.0,70.0,2002.0
"Speed Skating Women's 1,000 metres",Winter,F,Gold,169802.0,85350.0,24.0,167.0,63.0,1988.0
"Speed Skating Women's 1,500 metres",Winter,F,Gold,169608.0,85274.0,24.0,167.5,64.0,1988.0
"Speed Skating Women's 3,000 metres",Winter,F,Gold,184185.0,92566.0,23.0,168.0,65.0,1988.0
"Speed Skating Women's 5,000 metres",Winter,F,Gold,184184.5,92566.0,25.0,168.0,61.0,2000.0
Speed Skating Women's 500 metres,Winter,F,Gold,134121.0,67528.0,24.0,165.0,62.0,1988.0
Speed Skating Women's Team Pursuit (6 laps),Winter,F,Gold,152874.0,76719.0,28.0,169.0,64.0,2010.0
Swimming Women's 10 kilometres Open Water,Summer,F,Gold,201136.0,101041.0,22.0,173.0,65.0,2012.0
Swimming Women's 100 metres Backstroke,Summer,F,Gold,86758.0,44008.5,17.0,173.0,63.0,1974.0
Swimming Women's 100 metres Breaststroke,Summer,F,Gold,110140.0,55692.0,19.0,171.0,63.5,1992.0
Swimming Women's 100 metres Butterfly,Summer,F,Gold,168386.5,84570.5,20.0,173.0,63.5,1986.0
Swimming Women's 100 metres Freestyle,Summer,F,Gold,129016.5,64995.5,20.0,173.5,67.0,1974.0
Swimming Women's 200 metres Backstroke,Summer,F,Gold,61647.0,31565.0,17.0,175.0,65.0,1992.0
Swimming Women's 200 metres Breaststroke,Summer,F,Gold,144076.0,72282.0,20.0,173.0,61.0,1974.0
Swimming Women's 200 metres Butterfly,Summer,F,Gold,140840.0,70710.0,20.0,172.0,63.0,1992.0
Swimming Women's 200 metres Freestyle,Summer,F,Gold,157765.0,79198.0,19.0,174.0,64.0,1992.0
Swimming Women's 200 metres Individual Medley,Summer,F,Gold,121308.0,61330.0,20.0,175.0,64.0,1996.0
Swimming Women's 300 metres Freestyle,Summer,F,Gold,23285.0,12248.0,18.0,,,1920.0
Swimming Women's 4 x 100 metres Freestyle Relay,Summer,F,Gold,150298.0,75395.0,18.0,175.0,64.0,1972.0
Swimming Women's 4 x 100 metres Medley Relay,Summer,F,Gold,159324.0,79969.0,18.0,173.0,64.0,1988.0
Swimming Women's 4 x 200 metres Freestyle Relay,Summer,F,Gold,166047.0,83392.0,21.0,176.0,66.5,2008.0
Swimming Women's 400 metres Freestyle,Summer,F,Gold,113077.0,57069.5,18.0,174.5,63.0,1974.0
Swimming Women's 400 metres Individual Medley,Summer,F,Gold,122113.0,61731.5,18.0,173.0,61.0,1990.0
Swimming Women's 50 metres Freestyle,Summer,F,Gold,153305.0,77134.5,22.5,179.0,61.0,2002.0
Swimming Women's 800 metres Freestyle,Summer,F,Gold,71156.0,36236.0,18.0,174.0,62.0,1992.0
Synchronized Swimming Women's Duet,Summer,F,Gold,110679.5,55977.5,25.0,170.0,55.0,2002.0
Synchronized Swimming Women's Solo,Summer,F,Gold,139313.5,70177.5,23.0,173.5,57.0,1990.0
Synchronized Swimming Women's Team,Summer,F,Gold,173466.5,87169.0,23.5,170.5,57.0,2006.0
Table Tennis Women's Doubles,Summer,F,Gold,194798.0,97762.0,23.0,165.0,56.5,1996.0
Table Tennis Women's Singles,Summer,F,Gold,97178.0,49096.0,22.5,168.0,57.0,2002.0
Table Tennis Women's Team,Summer,F,Gold,138432.0,69530.0,25.0,168.0,60.0,2012.0
Taekwondo Women's Featherweight,Summer,F,Gold,110107.0,55676.0,21.0,163.0,57.0,2008.0
Taekwondo Women's Flyweight,Summer,F,Gold,119020.0,60247.0,25.0,166.0,50.0,2008.0
Taekwondo Women's Heavyweight,Summer,F,Gold,64950.0,33238.0,20.0,183.0,73.0,2008.0
Taekwondo Women's Welterweight,Summer,F,Gold,135387.0,68122.0,22.0,175.0,67.0,2008.0
Tennis Mixed Doubles,Summer,F,Gold,124305.0,62786.0,29.0,175.5,63.0,1920.0
"Tennis Mixed Doubles, Covered Courts",Summer,F,Gold,90021.0,45617.0,33.0,,,1912.0
Tennis Women's Doubles,Summer,F,Gold,225621.5,113258.5,26.0,176.0,68.0,1998.0
Tennis Women's Singles,Summer,F,Gold,112766.5,56893.5,20.0,175.0,64.0,1990.0
"Tennis Women's Singles, Covered Courts",Summer,F,Gold,75461.0,38406.0,28.5,,,1910.0
Trampolining Women's Individual,Summer,F,Gold,113506.0,57503.0,25.0,158.0,52.0,2008.0
Triathlon Women's Olympic Distance,Summer,F,Gold,155067.0,77838.0,30.0,166.0,54.0,2008.0
Volleyball Women's Volleyball,Summer,F,Gold,146653.0,73596.0,24.0,180.0,72.0,1988.0
Water Polo Women's Water Polo,Summer,F,Gold,152215.0,76407.0,26.0,178.0,71.0,2008.0
Weightlifting Women's Featherweight,Summer,F,Gold,106625.0,53926.0,22.0,155.0,53.0,2008.0
Weightlifting Women's Flyweight,Summer,F,Gold,236100.0,118369.0,25.0,152.0,48.0,2008.0
Weightlifting Women's Heavyweight,Summer,F,Gold,200841.0,100873.0,25.0,165.0,75.0,2008.0
Weightlifting Women's Light-Heavyweight,Summer,F,Gold,140543.0,70556.0,21.0,162.0,69.0,2008.0
Weightlifting Women's Lightweight,Summer,F,Gold,108498.0,54864.0,23.0,158.0,58.0,2008.0
Weightlifting Women's Middleweight,Summer,F,Gold,148268.0,74393.0,23.0,159.0,63.0,2008.0
Weightlifting Women's Super-Heavyweight,Summer,F,Gold,156698.0,78716.0,24.0,172.0,120.0,2008.0
"Wrestling Women's Featherweight, Freestyle",Summer,F,Gold,150122.0,75285.0,24.0,163.0,57.0,2016.0
"Wrestling Women's Flyweight, Freestyle",Summer,F,Gold,165866.0,83307.5,24.5,155.0,48.0,2010.0
"Wrestling Women's Heavyweight, Freestyle",Summer,F,Gold,256721.0,128546.0,20.5,174.5,73.5,2010.0
"Wrestling Women's Light-Heavyweight, Freestyle",Summer,F,Gold,57840.0,29618.0,21.0,159.0,69.0,2016.0
"Wrestling Women's Lightweight, Freestyle",Summer,F,Gold,266100.5,133130.0,27.0,157.0,55.0,2010.0
"Wrestling Women's Middleweight, Freestyle",Summer,F,Gold,102015.5,51603.0,22.5,166.0,61.0,2010.0
