Event,Season,Sex,Medal,sno,ID,Age,Height,Weight,Year
Rugby Sevens Women's Rugby Sevens,Summer,F,Bronze,152667.0,76639.0,26.0,170.0,68.0,2016.0
Sailing Mixed Multihull,Summer,F,Bronze,72260.0,36763.0,23.0,167.0,57.0,2016.0
Sailing Women's One Person Dinghy,Summer,F,Bronze,200887.0,100902.0,25.0,170.0,63.0,2004.0
Sailing Women's Skiff,Summer,F,Bronze,149575.5,75304.0,24.0,169.5,65.0,2016.0
Sailing Women's Three Person Keelboat,Summer,F,Bronze,126665.0,63872.0,27.0,168.0,67.0,2008.0
Sailing Women's Two Person Dinghy,Summer,F,Bronze,178427.5,89697.0,28.5,173.5,63.5,2002.0
Sailing Women's Windsurfer,Summer,F,Bronze,172574.0,86703.0,26.0,170.0,59.0,2004.0
"Shooting Women's Air Pistol, 10 metres",Summer,F,Bronze,85270.0,43252.0,25.5,163.0,63.0,2002.0
"Shooting Women's Air Rifle, 10 metres",Summer,F,Bronze,147887.0,74210.0,26.0,165.0,53.0,2000.0
Shooting Women's Double Trap,Summer,F,Bronze,100396.0,50779.0,35.0,164.0,82.0,2000.0
Shooting Women's Skeet,Summer,F,Bronze,102107.0,51656.0,35.0,170.0,66.0,2008.0
"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",Summer,F,Bronze,108240.0,54709.0,27.0,165.0,55.0,2000.0
"Shooting Women's Sporting Pistol, 25 metres",Summer,F,Bronze,57636.0,29512.0,36.0,163.0,63.0,2000.0
Shooting Women's Trap,Summer,F,Bronze,75633.0,38399.0,29.0,171.0,70.0,2008.0
"Short Track Speed Skating Women's 1,000 metres",Winter,F,Bronze,218527.0,109758.0,17.0,166.0,58.0,2006.0
"Short Track Speed Skating Women's 1,500 metres",Winter,F,Bronze,188836.0,94856.0,21.5,166.5,61.5,2008.0
"Short Track Speed Skating Women's 3,000 metres Relay",Winter,F,Bronze,115081.0,58120.0,23.0,165.0,59.5,2002.0
Short Track Speed Skating Women's 500 metres,Winter,F,Bronze,134372.0,67646.0,21.0,164.0,60.0,2002.0
Skeleton Women's Skeleton,Winter,F,Bronze,98900.5,50049.0,25.5,168.0,57.5,2008.0
"Ski Jumping Women's Normal Hill, Individual",Winter,F,Bronze,152743.0,76645.0,18.0,165.0,57.0,2014.0
Snowboarding Women's Boardercross,Winter,F,Bronze,172567.0,86698.0,25.0,176.0,63.0,2010.0
Snowboarding Women's Giant Slalom,Winter,F,Bronze,122289.0,61815.0,27.0,182.0,71.0,1998.0
Snowboarding Women's Halfpipe,Winter,F,Bronze,42282.0,21814.0,25.0,163.0,58.0,2006.0
Snowboarding Women's Parallel Giant Slalom,Winter,F,Bronze,185072.0,92899.5,28.0,172.5,60.5,2008.0
Snowboarding Women's Parallel Slalom,Winter,F,Bronze,122022.0,61692.0,26.0,168.0,56.0,2014.0
