sno,ID,Name,Sex,Age,Height,Weight,Country,NOC,Games,Year,Season,City,Sport,Event,Medal
7444,4166,"Walter Emanuel ""Walt"" Andrews",M,27.0,,,Canada,CAN,1908 Summer,1908,Summer,London,Cycling,"Cycling Men's Team Pursuit, 1,980 yards",Bronze
7449,4168,Boris Vasilyevich Andreyev,M,46.0,,,Russia,URS,1952 Summer,1952,Summer,Helsinki,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Bronze
7462,4173,Sergey Vasilyevich Andreyev,M,24.0,173.0,70.0,Russia,URS,1980 Summer,1980,Summer,Moskva,Football,Football Men's Football,Bronze
7467,4176,Vladimir Georgiyevich Andreyev,M,23.0,215.0,90.0,Russia,URS,1968 Summer,1968,Summer,Mexico City,Basketball,Basketball Men's Basketball,Bronze
7478,4179,Vladimir Vasilyevich Andreyev,M,34.0,170.0,58.0,Russia,RUS,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 20 kilometres Walk,Bronze
7513,4198,Nikolay Yefimovich Andrianov,M,19.0,166.0,60.0,Russia,URS,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Men's Horse Vault,Bronze
7525,4198,Nikolay Yefimovich Andrianov,M,23.0,166.0,60.0,Russia,URS,1976 Summer,1976,Summer,Montreal,Gymnastics,Gymnastics Men's Pommelled Horse,Bronze
7531,4198,Nikolay Yefimovich Andrianov,M,27.0,166.0,60.0,Russia,URS,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Men's Horizontal Bar,Bronze
7537,4201,Arkadi Andriasyan,M,25.0,174.0,70.0,Russia,URS,1972 Summer,1972,Summer,Munich,Football,Football Men's Football,Bronze
7547,4207,Michel Andrieux,M,29.0,192.0,92.0,France,FRA,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Men's Coxless Pairs,Bronze
7554,4209,Gheorghe Andriev,M,28.0,180.0,82.0,Romania,ROU,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Bronze
7587,4229,Vladimr Andrs,M,27.0,176.0,75.0,Czech Republic,TCH,1964 Summer,1964,Summer,Tokyo,Rowing,Rowing Men's Double Sculls,Bronze
7612,4242,Bohdan Andrzejewski,M,26.0,186.0,72.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Fencing,"Fencing Men's epee, Team",Bronze
7672,4268,Ral Anganuzzi,M,21.0,,,Argentina,ARG,1928 Summer,1928,Summer,Amsterdam,Fencing,"Fencing Men's Foil, Team",Bronze
7697,4284,Alberto Angelini,M,21.0,176.0,85.0,Italy,ITA,1996 Summer,1996,Summer,Atlanta,Water Polo,Water Polo Men's Water Polo,Bronze
7733,4304,Stefan Georgiev Angelov,M,25.0,152.0,48.0,Bulgaria,BUL,1972 Summer,1972,Summer,Munich,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",Bronze
7734,4304,Stefan Georgiev Angelov,M,29.0,152.0,48.0,Bulgaria,BUL,1976 Summer,1976,Summer,Montreal,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",Bronze
7778,4321,Peter Angerer,M,20.0,178.0,73.0,Germany,FRG,1980 Winter,1980,Winter,Lake Placid,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Bronze
7781,4321,Peter Angerer,M,24.0,178.0,73.0,Germany,FRG,1984 Winter,1984,Winter,Sarajevo,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Bronze
7788,4322,Tobias Angerer,M,24.0,179.0,72.0,Germany,GER,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Bronze
7789,4322,Tobias Angerer,M,28.0,179.0,72.0,Germany,GER,2006 Winter,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,Bronze
7855,4349,Max Angst,M,34.0,,,Switzerland,SUI,1956 Winter,1956,Winter,Cortina d'Ampezzo,Bobsleigh,Bobsleigh Men's Two,Bronze
7898,4375,Nikolay Petrovich Anikin,M,28.0,,,Russia,URS,1960 Winter,1960,Winter,Squaw Valley,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,Bronze
7900,4375,Nikolay Petrovich Anikin,M,28.0,,,Russia,URS,1960 Winter,1960,Winter,Squaw Valley,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Bronze
7987,4423,Martin Annen,M,27.0,181.0,98.0,Switzerland,SUI,2002 Winter,2002,Winter,Salt Lake City,Bobsleigh,Bobsleigh Men's Two,Bronze
7989,4423,Martin Annen,M,31.0,181.0,98.0,Switzerland,SUI,2006 Winter,2006,Winter,Torino,Bobsleigh,Bobsleigh Men's Two,Bronze
7990,4423,Martin Annen,M,31.0,181.0,98.0,Switzerland,SUI,2006 Winter,2006,Winter,Torino,Bobsleigh,Bobsleigh Men's Four,Bronze
8002,4432,Harold Edward Annison,M,24.0,183.0,,UK,GBR,1920 Summer,1920,Summer,Antwerpen,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
8037,4447,Roman Sergeyevich Anoshkin,M,28.0,192.0,95.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Bronze
8047,4452,Jacques Anquetil,M,18.0,,,France,FRA,1952 Summer,1952,Summer,Helsinki,Cycling,"Cycling Men's Road Race, Team",Bronze
