NOC,Name,Sex,Age,Height,Weight,Season,Year,Sport,Event,Medal
URS,Arkadi Andriasyan,M,25.0,174.0,70.0,Summer,1972,Football,Football Men's Football,Bronze
FRA,Michel Andrieux,M,29.0,192.0,92.0,Summer,1996,Rowing,Rowing Men's Coxless Pairs,Bronze
ROU,Gheorghe Andriev,M,28.0,180.0,82.0,Summer,1996,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Bronze
TCH,Vladimr Andrs,M,27.0,176.0,75.0,Summer,1964,Rowing,Rowing Men's Double Sculls,Bronze
POL,Bohdan Andrzejewski,M,26.0,186.0,72.0,Summer,1968,Fencing,"Fencing Men's epee, Team",Bronze
ITA,Alberto Angelini,M,21.0,176.0,85.0,Summer,1996,Water Polo,Water Polo Men's Water Polo,Bronze
BUL,Stefan Georgiev Angelov,M,25.0,152.0,48.0,Summer,1972,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",Bronze
BUL,Stefan Georgiev Angelov,M,29.0,152.0,48.0,Summer,1976,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",Bronze
FRG,Peter Angerer,M,20.0,178.0,73.0,Winter,1980,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Bronze
FRG,Peter Angerer,M,24.0,178.0,73.0,Winter,1984,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Bronze
GER,Tobias Angerer,M,24.0,179.0,72.0,Winter,2002,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Bronze
GER,Tobias Angerer,M,28.0,179.0,72.0,Winter,2006,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,Bronze
SUI,Martin Annen,M,27.0,181.0,98.0,Winter,2002,Bobsleigh,Bobsleigh Men's Two,Bronze
SUI,Martin Annen,M,31.0,181.0,98.0,Winter,2006,Bobsleigh,Bobsleigh Men's Two,Bronze
SUI,Martin Annen,M,31.0,181.0,98.0,Winter,2006,Bobsleigh,Bobsleigh Men's Four,Bronze
RUS,Roman Sergeyevich Anoshkin,M,28.0,192.0,95.0,Summer,2016,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Bronze
POL,Zdzisaw Antczak,M,28.0,188.0,82.0,Summer,1976,Handball,Handball Men's Handball,Bronze
USA,Carmelo Kyan Anthony,M,20.0,203.0,109.0,Summer,2004,Basketball,Basketball Men's Basketball,Bronze
GUY,Michael Anthony Parris,M,22.0,173.0,54.0,Summer,1980,Boxing,Boxing Men's Bantamweight,Bronze
USA,"Matthew ""Matt"" Antoine",M,28.0,190.0,84.0,Winter,2014,Skeleton,Skeleton Men's Skeleton,Bronze
RUS,Semyon Sergeyevich Antonov,M,23.0,202.0,97.0,Summer,2012,Basketball,Basketball Men's Basketball,Bronze
SWE,Hans Yngve Antonsson,M,25.0,179.0,79.0,Summer,1960,Wrestling,"Wrestling Men's Middleweight, Freestyle",Bronze
URS,Aleksandr Aleksandrovich Anufriyev,M,26.0,167.0,63.0,Summer,1952,Athletics,"Athletics Men's 10,000 metres",Bronze
JPN,Seiji Aochi,M,29.0,167.0,66.0,Winter,1972,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",Bronze
MAR,Sad Aouita,M,28.0,175.0,58.0,Summer,1988,Athletics,Athletics Men's 800 metres,Bronze
TUR,Eref Apak,M,22.0,184.0,120.0,Summer,2004,Athletics,Athletics Men's Hammer Throw,Bronze
URS,Dmitry Borisovich Apanasenko,M,21.0,192.0,86.0,Summer,1988,Water Polo,Water Polo Men's Water Polo,Bronze
EUN,Dmitry Borisovich Apanasenko,M,25.0,192.0,86.0,Summer,1992,Water Polo,Water Polo Men's Water Polo,Bronze
