NOC,Name,Sex,Age,Height,Weight,Season,Year,Sport,Event,Medal
SWE,Erik Mattias Andersson,M,34.0,186.0,95.0,Summer,2012,Handball,Handball Men's Handball,Silver
SWE,Robert Andersson,M,22.0,191.0,83.0,Summer,1992,Handball,Handball Men's Handball,Silver
SWE,Robert Andersson,M,26.0,191.0,83.0,Summer,1996,Handball,Handball Men's Handball,Silver
BRA,Jorge Luiz Andrade da Silva,M,31.0,170.0,72.0,Summer,1988,Football,Football Men's Football,Silver
USA,"William Jules ""Bill"" Andre",M,25.0,178.0,68.0,Summer,1956,Modern Pentathlon,Modern Pentathlon Men's Team,Silver
FRA,"Georges Ivan ""Go"" Andr (Monnard-)",M,18.0,188.0,85.0,Summer,1908,Athletics,Athletics Men's High Jump,Silver
BRA,Andr Lus dos Santos Ferreira,M,24.0,180.0,82.0,Summer,1984,Football,Football Men's Football,Silver
NOR,Rolf Siljan Andreassen,M,27.0,190.0,88.0,Summer,1976,Rowing,Rowing Men's Coxless Fours,Silver
ITA,Severino Andreoli,M,23.0,173.0,73.0,Summer,1964,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver
NOR,Frode Andresen,M,24.0,191.0,76.0,Winter,1998,Biathlon,Biathlon Men's 10 kilometres Sprint,Silver
GBR,Scott Andrews,M,24.0,175.0,85.0,Winter,2014,Curling,Curling Men's Curling,Silver
URS,Nikolay Yefimovich Andrianov,M,19.0,166.0,60.0,Summer,1972,Gymnastics,Gymnastics Men's Team All-Around,Silver
URS,Nikolay Yefimovich Andrianov,M,23.0,166.0,60.0,Summer,1976,Gymnastics,Gymnastics Men's Team All-Around,Silver
URS,Nikolay Yefimovich Andrianov,M,23.0,166.0,60.0,Summer,1976,Gymnastics,Gymnastics Men's Parallel Bars,Silver
URS,Nikolay Yefimovich Andrianov,M,27.0,166.0,60.0,Summer,1980,Gymnastics,Gymnastics Men's Individual All-Around,Silver
URS,Nikolay Yefimovich Andrianov,M,27.0,166.0,60.0,Summer,1980,Gymnastics,Gymnastics Men's Floor Exercise,Silver
UKR,Valeriy Oleksandrovych Andriitsev,M,25.0,181.0,97.0,Summer,2012,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Silver
POL,Robert Sebastian Andrzejuk,M,33.0,179.0,75.0,Summer,2008,Fencing,"Fencing Men's epee, Team",Silver
BUL,Angel Angelov,M,24.0,170.0,63.0,Summer,1972,Boxing,Boxing Men's Light-Welterweight,Silver
BUL,Yordan Angelov,M,26.0,196.0,86.0,Summer,1980,Volleyball,Volleyball Men's Volleyball,Silver
FRG,Peter Angerer,M,24.0,178.0,73.0,Winter,1984,Biathlon,Biathlon Men's 10 kilometres Sprint,Silver
FRG,Peter Angerer,M,28.0,178.0,73.0,Winter,1988,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Silver
GER,Tobias Angerer,M,28.0,179.0,72.0,Winter,2006,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Silver
