sno,ID,Name,Sex,Age,Height,Weight,Country,NOC,Games,Year,Season,City,Sport,Event,Medal
141629,71047,"Hermanus Pieter ""Dick"" Loggere",M,31.0,,,Netherlands,NED,1952 Summer,1952,Summer,Helsinki,Hockey,Hockey Men's Hockey,Silver
141642,71059,Viktor Alekseyevich Logunov,M,20.0,176.0,75.0,Russia,URS,1964 Summer,1964,Summer,Tokyo,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Silver
141699,71085,Bobby Roy Lohse,M,38.0,198.0,125.0,Sweden,SWE,1996 Summer,1996,Summer,Atlanta,Sailing,Sailing Mixed Two Person Keelboat,Silver
141764,71119,Sven Loll,M,24.0,182.0,71.0,Germany,GDR,1988 Summer,1988,Summer,Seoul,Judo,Judo Men's Lightweight,Silver
141786,71130,Trofim Fyodorovich Lomakin,M,36.0,167.0,85.5,Russia,URS,1960 Summer,1960,Summer,Roma,Weightlifting,Weightlifting Men's Middle-Heavyweight,Silver
141845,71154,Charles Georg Lomberg,M,25.0,182.0,75.0,Sweden,SWE,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's Decathlon,Silver
141857,71162,Shota Lomidze,M,32.0,180.0,101.0,Russia,URS,1968 Summer,1968,Summer,Mexico City,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Silver
141885,71178,Luka Lonar,M,29.0,195.0,106.0,Croatia,CRO,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,Silver
141887,71180,Nikola Lonar,M,24.0,200.0,98.0,Serbia,SCG,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Men's Basketball,Silver
141902,71186,"John Edward ""Jack"" London",M,23.0,183.0,75.0,UK,GBR,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 100 metres,Silver
141929,71202,"Carl-Ludwig Hermann ""Luz"" Long",M,23.0,184.0,72.0,Germany,GER,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's Long Jump,Silver
142118,71292,Yevgeny Ivanovich Lopatin,M,34.0,,67.0,Russia,URS,1952 Summer,1952,Summer,Helsinki,Weightlifting,Weightlifting Men's Lightweight,Silver
142129,71298,Carlos Alberto de Sousa Lopes,M,29.0,167.0,55.0,Portugal,POR,1976 Summer,1976,Summer,Montreal,Athletics,"Athletics Men's 10,000 metres",Silver
142192,71335,Claudio Javier Lpez Paulocci,M,22.0,178.0,77.0,Argentina,ARG,1996 Summer,1996,Summer,Atlanta,Football,Football Men's Football,Silver
142265,71368,Gustavo Adrin Lpez Pablo,M,23.0,174.0,73.0,Argentina,ARG,1996 Summer,1996,Summer,Atlanta,Football,Football Men's Football,Silver
142267,71370,Hctor Lpez Coln,M,17.0,168.0,54.0,Mexico,MEX,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Bantamweight,Silver
142305,71392,Jos Ramn Lpez Daz-Flor,M,25.0,180.0,81.0,Spain,ESP,1976 Summer,1976,Summer,Montreal,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
142314,71398,Juan Manuel Lpez Iturriaga,M,25.0,194.0,91.0,Spain,ESP,1984 Summer,1984,Summer,Los Angeles,Basketball,Basketball Men's Basketball,Silver
142365,71428,Mark Anthony Lopez,M,26.0,183.0,68.0,USA,USA,2008 Summer,2008,Summer,Beijing,Taekwondo,Taekwondo Men's Featherweight,Silver
142391,71441,Nicolas Pierre Lopez,M,27.0,180.0,60.0,France,FRA,2008 Summer,2008,Summer,Beijing,Fencing,"Fencing Men's Sabre, Individual",Silver
142416,71453,Ral Lpez Molist,M,28.0,184.0,80.0,Spain,ESP,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Men's Basketball,Silver
142483,71481,"Alessandro ""Sandro"" Lopopolo",M,20.0,170.0,60.0,Italy,ITA,1960 Summer,1960,Summer,Roma,Boxing,Boxing Men's Lightweight,Silver
142489,71485,Stanislav Yuryevich Lopukhov,M,23.0,194.0,85.0,Russia,RUS,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver
142492,71486,Ren Zacharie Alfred Lorain,M,20.0,175.0,68.0,France,FRA,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
142533,71510,Yury Yevgenyevich Lorentsson,M,45.0,171.0,57.0,Russia,URS,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Men's Coxed Pairs,Silver
142545,71513,Jens Lorentzen,M,,,,Denmark,DEN,1906 Summer,1906,Summer,Athina,Gymnastics,Gymnastics Men's Team All-Around,Silver
142573,71535,Wilfried Lorenz,M,32.0,169.0,68.0,Germany,GER,1964 Summer,1964,Summer,Tokyo,Sailing,Sailing Mixed Three Person Keelboat,Silver
142627,71566,Tams Lrincz,M,25.0,172.0,75.0,Hungary,HUN,2012 Summer,2012,Summer,London,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Silver
142637,71572,Constant Loriot,M,,,,Belgium,BEL,1920 Summer,1920,Summer,Antwerpen,Gymnastics,Gymnastics Men's Team All-Around,Silver
142646,71574,Gnter Lrke,M,25.0,175.0,65.0,Germany,GER,1960 Summer,1960,Summer,Roma,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver
142712,71604,Valery Anatolyevich Losev,M,32.0,199.0,89.0,Russia,URS,1988 Summer,1988,Summer,Seoul,Volleyball,Volleyball Men's Volleyball,Silver
142716,71607,"Robert Gregory ""Greg"" Losey",M,34.0,188.0,82.0,USA,USA,1984 Summer,1984,Summer,Los Angeles,Modern Pentathlon,Modern Pentathlon Men's Team,Silver
142745,71615,Jri Lossman,M,29.0,169.0,69.0,Estonia,EST,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's Marathon,Silver
142747,71616,Joann Lssov,M,30.0,174.0,,Russia,URS,1952 Summer,1952,Summer,Helsinki,Basketball,Basketball Men's Basketball,Silver
142764,71624,Peter Ltscher,M,31.0,184.0,85.0,Switzerland,SUI,1972 Summer,1972,Summer,Munich,Fencing,"Fencing Men's epee, Team",Silver
142768,71627,"Gerhard Oswald ""Geert"" Lotsij",M,22.0,,,Netherlands,NED,1900 Summer,1900,Summer,Paris,Rowing,Rowing Men's Coxed Fours,Silver
142769,71628,"Paulus Jan ""Paul"" Lotsij",M,20.0,,,Netherlands,NED,1900 Summer,1900,Summer,Paris,Rowing,Rowing Men's Coxed Fours,Silver
142790,71644,Lou Yun,M,20.0,158.0,53.0,China,CHN,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Gymnastics Men's Team All-Around,Silver
142791,71644,Lou Yun,M,20.0,158.0,53.0,China,CHN,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Gymnastics Men's Floor Exercise,Silver
142831,71662,Thomas Richardson Loudon,M,20.0,,,Canada,CAN,1904 Summer,1904,Summer,St. Louis,Rowing,Rowing Men's Coxed Eights,Silver
142835,71665,"Gregory Efthimios ""Greg"" Louganis",M,16.0,175.0,73.0,USA,USA,1976 Summer,1976,Summer,Montreal,Diving,Diving Men's Platform,Silver
142952,71735,Herbert Arthur Loveitt,M,26.0,180.0,71.0,UK,GBR,1900 Summer,1900,Summer,Paris,Rugby,Rugby Men's Rugby,Silver
142960,71741,Guillermo Jos Lovell Birnes,M,18.0,,,Argentina,ARG,1936 Summer,1936,Summer,Berlin,Boxing,Boxing Men's Heavyweight,Silver
142970,71744,"John Clay Lovell, III",M,36.0,170.0,77.0,USA,USA,2004 Summer,2004,Summer,Athina,Sailing,Sailing Mixed Multihull,Silver
142994,71757,Vladimir Nikolayevich Lovetsky,M,20.0,186.0,83.0,Russia,URS,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
