sno,ID,Name,Sex,Age,Height,Weight,Country,NOC,Games,Year,Season,City,Sport,Event,Medal
218500,109742,Yekaterina Vladimirovna Shikhova,F,28.0,172.0,63.0,Russia,RUS,2014 Winter,2014,Winter,Sochi,Speed Skating,Speed Skating Women's Team Pursuit (6 laps),Bronze
218527,109758,Shim Seok-Hui,F,17.0,173.0,56.0,South Korea,KOR,2014 Winter,2014,Winter,Sochi,Short Track Speed Skating,"Short Track Speed Skating Women's 1,000 metres",Bronze
218643,109817,Shin Seung-Chan,F,21.0,173.0,70.0,South Korea,KOR,2016 Summer,2016,Summer,Rio de Janeiro,Badminton,Badminton Women's Doubles,Bronze
218668,109831,Risa Shinnabe,F,22.0,173.0,66.0,Japan,JPN,2012 Summer,2012,Summer,London,Volleyball,Volleyball Women's Volleyball,Bronze
218775,109876,Toshiko Shirasu-Aihara,F,25.0,147.0,47.0,Japan,JPN,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Women's Team All-Around,Bronze
218858,109918,Nataliya Grigoryevna Shive-Glebova,F,20.0,173.0,66.0,Russia,URS,1984 Winter,1984,Winter,Sarajevo,Speed Skating,Speed Skating Women's 500 metres,Bronze
218872,109924,Marina Ivanovna Shkermankova,F,22.0,161.0,69.0,Belarus,BLR,2012 Summer,2012,Summer,London,Weightlifting,Weightlifting Women's Light-Heavyweight,Bronze
218878,109927,Svetlana Vladimirovna Shkolina,F,26.0,187.0,66.0,Russia,RUS,2012 Summer,2012,Summer,London,Athletics,Athletics Women's High Jump,Bronze
219040,110025,Margarita Shtarkelova,F,25.0,177.0,73.0,Bulgaria,BUL,1976 Summer,1976,Summer,Montreal,Basketball,Basketball Women's Basketball,Bronze
219065,110039,Olga Aleksandrovna Shtyrenko,F,19.0,172.0,47.0,Russia,RUS,1996 Summer,1996,Summer,Atlanta,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Bronze
219081,110050,Yelena Shubina,F,17.0,,,Russia,EUN,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
219158,110090,Yelena Lvovna Shushunova,F,19.0,147.0,41.0,Russia,URS,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Women's Uneven Bars,Bronze
219175,110096,Lyubov Andreyevna Shutova,F,33.0,177.0,64.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Women's epee, Team",Bronze
219202,110110,Tatyana Ivanovna Shvyganova (-Nazirova),F,19.0,152.0,50.0,Russia,URS,1980 Summer,1980,Summer,Moskva,Hockey,Hockey Women's Hockey,Bronze
219212,110117,Tetiana Volodymyrivna Shynkarenko,F,25.0,175.0,67.0,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Handball,Handball Women's Handball,Bronze
219341,110187,Cornelia Sideri,F,25.0,168.0,64.0,Romania,ROU,1964 Summer,1964,Summer,Tokyo,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Bronze
219377,110200,Alyona Viktorovna Sidko,F,26.0,170.0,63.0,Russia,RUS,2006 Winter,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Women's Sprint,Bronze
219415,110222,Tatyana Aleksandrovna Sidorova,F,27.0,158.0,,Russia,URS,1964 Winter,1964,Winter,Innsbruck,Speed Skating,Speed Skating Women's 500 metres,Bronze
219491,110258,Birte Siech,F,25.0,180.0,75.0,Germany,GER,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Women's Coxless Fours,Bronze
219504,110266,Sarah Elaine Siegelaar,F,22.0,180.0,74.0,Netherlands,NED,2004 Summer,2004,Summer,Athina,Rowing,Rowing Women's Coxed Eights,Bronze
219785,110411,Helena ikolov (-Balatkov),F,22.0,153.0,50.0,Czech Republic,TCH,1972 Winter,1972,Winter,Sapporo,Cross Country Skiing,Cross Country Skiing Women's 5 kilometres,Bronze
219819,110419,Annette Sikveland,F,25.0,177.0,62.0,Norway,NOR,1998 Winter,1998,Winter,Nagano,Biathlon,Biathlon Women's 4 x 7.5 kilometres Relay,Bronze
219881,110459,Viorica Daniela Siliva (-Harper),F,16.0,145.0,38.0,Romania,ROU,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Women's Horse Vault,Bronze
219910,110471,Lynn Silliman,F,17.0,156.0,44.0,USA,USA,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Women's Coxed Eights,Bronze
220137,110590,"Silvia Andrea ""Silvinha"" Santos Luz",F,25.0,173.0,66.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Women's Basketball,Bronze
220158,110602,Sim Eun-Jeong,F,21.0,,,South Korea,KOR,1992 Summer,1992,Summer,Barcelona,Badminton,Badminton Women's Doubles,Bronze
220195,110624,Anastasiya Dmitriyevna Simanovich,F,21.0,174.0,69.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,Bronze
220442,110716,Georgia Simmerling,F,27.0,172.0,67.0,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Women's Team Pursuit,Bronze
220673,110832,Anita Aline Simonis (-Zetts),F,22.0,,,USA,USA,1948 Summer,1948,Summer,London,Gymnastics,Gymnastics Women's Team All-Around,Bronze
220686,110842,Ann Simons,F,20.0,161.0,48.0,Belgium,BEL,2000 Summer,2000,Summer,Sydney,Judo,Judo Women's Extra-Lightweight,Bronze
220767,110884,Janet Mary Simpson (-Clerc),F,20.0,166.0,65.0,UK,GBR,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
220910,110961,Christine Margaret Sinclair,F,29.0,176.0,75.0,Canada,CAN,2012 Summer,2012,Summer,London,Football,Football Women's Football,Bronze
220911,110961,Christine Margaret Sinclair,F,33.0,176.0,75.0,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,Bronze
221424,111288,Nataliya Siniin,F,31.0,160.0,58.0,Azerbaijan,AZE,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Women's Featherweight, Freestyle",Bronze
221470,111306,Clarinda Maria Sinnige,F,27.0,179.0,75.0,Netherlands,NED,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Women's Hockey,Bronze
221488,111317,Rene (Renate Alice-) Sintenis (-Weiss),F,40.0,,,Germany,GER,1928 Summer,1928,Summer,Amsterdam,Art Competitions,"Art Competitions Mixed Sculpturing, Statues",Bronze
221603,111374,Cornelia Sirch (Embacher-),F,21.0,176.0,70.0,Germany,GDR,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 100 metres Backstroke,Bronze
