NOC,Name,Sex,Age,Height,Weight,Season,Year,Sport,Event,Medal
ITA,Antonella Bellutti,F,31.0,180.0,73.0,Summer,2000,Cycling,Cycling Women's Points Race,Gold
ITA,Stefania Belmondo,F,23.0,158.0,45.0,Winter,1992,Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,Gold
ITA,Stefania Belmondo,F,33.0,158.0,45.0,Winter,2002,Cross Country Skiing,Cross Country Skiing Women's 15 kilometres,Gold
ESP,Mireia Belmonte Garca,F,25.0,170.0,59.0,Summer,2016,Swimming,Swimming Women's 200 metres Butterfly,Gold
USA,"Melissa Louise Belote (-Hamlin, -Ripley)",F,15.0,171.0,60.0,Summer,1972,Swimming,Swimming Women's 100 metres Backstroke,Gold
USA,"Melissa Louise Belote (-Hamlin, -Ripley)",F,15.0,171.0,60.0,Summer,1972,Swimming,Swimming Women's 200 metres Backstroke,Gold
USA,"Melissa Louise Belote (-Hamlin, -Ripley)",F,15.0,171.0,60.0,Summer,1972,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
URS,Lyudmila Yevgenevna Belousova (-Protopopova),F,28.0,160.0,46.0,Winter,1964,Figure Skating,Figure Skating Mixed Pairs,Gold
URS,Lyudmila Yevgenevna Belousova (-Protopopova),F,32.0,160.0,46.0,Winter,1968,Figure Skating,Figure Skating Mixed Pairs,Gold
RUS,Irina Olegovna Belova,F,19.0,175.0,52.0,Summer,2000,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold
RUS,Olesya Vladimirovna Belugina,F,20.0,175.0,53.0,Summer,2004,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold
USA,Lindsay Dianne Benko (-Mintenko),F,23.0,185.0,74.0,Summer,2000,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
USA,Lindsay Dianne Benko (-Mintenko),F,27.0,185.0,74.0,Summer,2004,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
USA,Brooke Marie Bennett (-Frioud),F,16.0,165.0,57.0,Summer,1996,Swimming,Swimming Women's 800 metres Freestyle,Gold
USA,Brooke Marie Bennett (-Frioud),F,20.0,165.0,57.0,Summer,2000,Swimming,Swimming Women's 400 metres Freestyle,Gold
