NOC,Name,Sex,Age,Height,Weight,Season,Year,Sport,Event,Medal
CAN,Angela Bailey,F,22.0,157.0,56.0,Summer,1984,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
USA,"Christina ""Chris"" Bailey",F,30.0,167.0,73.0,Winter,2002,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
FRA,Sandrine Bailly,F,30.0,172.0,58.0,Winter,2010,Biathlon,Biathlon Women's 4 x 6 kilometres Relay,Silver
AUS,Angie Lee Bainbridge,F,22.0,181.0,67.0,Summer,2012,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Silver
YUG,Vesna Bajkua,F,18.0,176.0,67.0,Summer,1988,Basketball,Basketball Women's Basketball,Silver
USA,Kathleen Baker,F,19.0,173.0,68.0,Summer,2016,Swimming,Swimming Women's 100 metres Backstroke,Silver
USA,Laurie Baker (-Mutch),F,25.0,170.0,61.0,Winter,2002,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
NZL,Shakira Baker,F,24.0,172.0,89.0,Summer,2016,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,Silver
GRE,Niki Bakogianni,F,28.0,170.0,52.0,Summer,1996,Athletics,Athletics Women's High Jump,Silver
ROU,Anioara Blan-Dobre,F,26.0,176.0,71.0,Summer,1992,Rowing,Rowing Women's Quadruple Sculls,Silver
HUN,Beatrix Balogh (-Csata),F,25.0,165.0,65.0,Summer,2000,Handball,Handball Women's Handball,Silver
CHN,Bao Yingying,F,24.0,172.0,67.0,Summer,2008,Fencing,"Fencing Women's Sabre, Team",Silver
GER,Carina Br,F,22.0,185.0,75.0,Summer,2012,Rowing,Rowing Women's Quadruple Sculls,Silver
BRA,Brbara Seixas de Freitas,F,29.0,178.0,67.0,Summer,2016,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Silver
BRA,Brbara Micheline do Monte Barbosa,F,20.0,171.0,71.0,Summer,2008,Football,Football Women's Football,Silver
MNE,Sonja Barjaktarovi,F,25.0,180.0,74.0,Summer,2012,Handball,Handball Women's Handball,Silver
FRA,Valrie Gisele Angele Barlois-Mevel-Leroux,F,27.0,165.0,53.0,Summer,1996,Fencing,"Fencing Women's epee, Individual",Silver
USA,"Elizabeth Cynthia ""Beth"" Barr (-Isaak)",F,16.0,178.0,60.0,Summer,1988,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
AUS,Bronte Amelia Arnold Barratt,F,23.0,171.0,59.0,Summer,2012,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Silver
AUS,Bronte Amelia Arnold Barratt,F,27.0,171.0,59.0,Summer,2016,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Silver
CAN,Alexandra Barr (Sandor-),F,26.0,173.0,59.0,Summer,1984,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Silver
USA,Brigetta LaShea Barrett,F,21.0,183.0,64.0,Summer,2012,Athletics,Athletics Women's High Jump,Silver
ARG,Mara Noel Barrionuevo,F,28.0,171.0,58.0,Summer,2012,Hockey,Hockey Women's Hockey,Silver
CUB,Yarelis Barrios Castaeda,F,25.0,172.0,89.0,Summer,2008,Athletics,Athletics Women's Discus Throw,Silver
CAN,"Corinne ""Cori"" Bartel (-Morris)",F,38.0,165.0,58.0,Winter,2010,Curling,Curling Women's Curling,Silver
NED,"Martina Maria Anna Antonia ""Tineke"" Bartels-de Vries",F,41.0,177.0,64.0,Summer,1992,Equestrianism,"Equestrianism Mixed Dressage, Team",Silver
NED,"Martina Maria Anna Antonia ""Tineke"" Bartels-de Vries",F,45.0,177.0,64.0,Summer,1996,Equestrianism,"Equestrianism Mixed Dressage, Team",Silver
SWE,Malin Birgitta Baryard-Johnsson,F,29.0,172.0,52.0,Summer,2004,Equestrianism,"Equestrianism Mixed Jumping, Team",Silver
AUS,Suzy Batkovic (-Brown),F,23.0,195.0,89.0,Summer,2004,Basketball,Basketball Women's Basketball,Silver
AUS,Suzy Batkovic (-Brown),F,27.0,195.0,89.0,Summer,2008,Basketball,Basketball Women's Basketball,Silver
RUS,Vitalina Igorevna Batsarashkina,F,19.0,162.0,60.0,Summer,2016,Shooting,"Shooting Women's Air Pistol, 10 metres",Silver
GBR,"Guinevere ""Guin"" Batten",F,32.0,172.0,74.0,Summer,2000,Rowing,Rowing Women's Quadruple Sculls,Silver
USA,"Jane Kimberley ""Kim"" Batten",F,27.0,170.0,57.0,Summer,1996,Athletics,Athletics Women's 400 metres Hurdles,Silver
GBR,Miriam Batten (-Luke),F,35.0,174.0,70.0,Summer,2000,Rowing,Rowing Women's Quadruple Sculls,Silver
EUN,Yelena Nikolayevna Batukhtina-Tyurina,F,21.0,184.0,82.0,Summer,1992,Volleyball,Volleyball Women's Volleyball,Silver
RUS,Yelena Nikolayevna Batukhtina-Tyurina,F,29.0,184.0,82.0,Summer,2000,Volleyball,Volleyball Women's Volleyball,Silver
