sno,ID,Name,Sex,Age,Height,Weight,Country,NOC,Games,Year,Season,City,Sport,Event,Medal
247365,123857,Yelena Valeryevna Vlbe (Trubitsyna-),F,23.0,164.0,54.0,Russia,EUN,1992 Winter,1992,Winter,Albertville,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Gold
247368,123857,Yelena Valeryevna Vlbe (Trubitsyna-),F,25.0,164.0,54.0,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Gold
247371,123857,Yelena Valeryevna Vlbe (Trubitsyna-),F,29.0,164.0,54.0,Russia,RUS,1998 Winter,1998,Winter,Nagano,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Gold
247621,123980,Melanie M. Valerio,F,27.0,183.0,66.0,USA,USA,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
247633,123985,"Valeska ""Valeskinha"" dos Santos Menezes",F,32.0,180.0,62.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Women's Volleyball,Gold
247854,124102,"Yelena Aleksandrovna Valova (-Vasilyeva, -Galusha)",F,21.0,155.0,47.0,Russia,URS,1984 Winter,1984,Winter,Sarajevo,Figure Skating,Figure Skating Mixed Pairs,Gold
247970,124153,Naomi Frances van As,F,25.0,179.0,63.0,Netherlands,NED,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Women's Hockey,Gold
247971,124153,Naomi Frances van As,F,28.0,179.0,63.0,Netherlands,NED,2012 Summer,2012,Summer,London,Hockey,Hockey Women's Hockey,Gold
248036,124180,"Charlotte Willemijn ""Lotte"" van Beek",F,22.0,180.0,69.0,Netherlands,NED,2014 Winter,2014,Winter,Sochi,Speed Skating,Speed Skating Women's Team Pursuit (6 laps),Gold
248045,124185,Iefke van Belkum,F,22.0,185.0,75.0,Netherlands,NED,2008 Summer,2008,Summer,Beijing,Water Polo,Water Polo Women's Water Polo,Gold
248262,124292,Gillian Maria Elisabeth van den Berg,F,36.0,173.0,66.0,Netherlands,NED,2008 Summer,2008,Summer,Beijing,Water Polo,Water Polo Women's Water Polo,Gold
248348,124331,Marieke van den Ham,F,25.0,169.0,80.0,Netherlands,NED,2008 Summer,2008,Summer,Beijing,Water Polo,Water Polo Women's Water Polo,Gold
248396,124346,Anna van der Breggen,F,26.0,167.0,56.0,Netherlands,NED,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,"Cycling Women's Road Race, Individual",Gold
248493,124394,Kirsten Irene Merian van der Kolk (-Aardewijn),F,32.0,172.0,55.0,Netherlands,NED,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Women's Lightweight Double Sculls,Gold
248545,124422,Ilse Suzanne van der Meijden,F,19.0,185.0,71.0,Netherlands,NED,2008 Summer,2008,Summer,Beijing,Water Polo,Water Polo Women's Water Polo,Gold
248769,124540,Marieke Birgitta van Doorn,F,24.0,165.0,57.0,Netherlands,NED,1984 Summer,1984,Summer,Los Angeles,Hockey,Hockey Women's Hockey,Gold
248806,124563,Amy Deloris Van Dyken (-Rouen),F,23.0,183.0,74.0,USA,USA,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 50 metres Freestyle,Gold
248808,124563,Amy Deloris Van Dyken (-Rouen),F,23.0,183.0,74.0,USA,USA,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
248809,124563,Amy Deloris Van Dyken (-Rouen),F,23.0,183.0,74.0,USA,USA,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 100 metres Butterfly,Gold
248810,124563,Amy Deloris Van Dyken (-Rouen),F,23.0,183.0,74.0,USA,USA,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
248812,124563,Amy Deloris Van Dyken (-Rouen),F,27.0,183.0,74.0,USA,USA,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
248813,124563,Amy Deloris Van Dyken (-Rouen),F,27.0,183.0,74.0,USA,USA,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
248847,124584,Marit van Eupen,F,38.0,176.0,59.0,Netherlands,NED,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Women's Lightweight Double Sculls,Gold
248869,124597,"Marianne Antoinette ""Miek"" van Geenhuizen",F,26.0,166.0,63.0,Netherlands,NED,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Women's Hockey,Gold
248870,124598,Margot van Geffen,F,22.0,172.0,63.0,Netherlands,NED,2012 Summer,2012,Summer,London,Hockey,Hockey Women's Hockey,Gold
248885,124607,Yvonne Maria Therse van Gennip,F,23.0,166.0,66.0,Netherlands,NED,1988 Winter,1988,Winter,Calgary,Speed Skating,"Speed Skating Women's 1,500 metres",Gold
248886,124607,Yvonne Maria Therse van Gennip,F,23.0,166.0,66.0,Netherlands,NED,1988 Winter,1988,Winter,Calgary,Speed Skating,"Speed Skating Women's 3,000 metres",Gold
248887,124607,Yvonne Maria Therse van Gennip,F,23.0,166.0,66.0,Netherlands,NED,1988 Winter,1988,Winter,Calgary,Speed Skating,"Speed Skating Women's 5,000 metres",Gold
248933,124626,"Theodora Elisabeth Gerarda ""Anky"" van Grunsven",F,32.0,172.0,56.0,Netherlands,NED,2000 Summer,2000,Summer,Sydney,Equestrianism,"Equestrianism Mixed Dressage, Individual",Gold
248935,124626,"Theodora Elisabeth Gerarda ""Anky"" van Grunsven",F,36.0,172.0,56.0,Netherlands,NED,2004 Summer,2004,Summer,Athina,Equestrianism,"Equestrianism Mixed Dressage, Individual",Gold
248937,124626,"Theodora Elisabeth Gerarda ""Anky"" van Grunsven",F,40.0,172.0,56.0,Netherlands,NED,2008 Summer,2008,Summer,Beijing,Equestrianism,"Equestrianism Mixed Dressage, Individual",Gold
249155,124735,Ellen Gezina Maria van Langen,F,26.0,172.0,57.0,Netherlands,NED,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's 800 metres,Gold
249219,124771,Caia Jaqueline van Maasakker,F,23.0,180.0,69.0,Netherlands,NED,2012 Summer,2012,Summer,London,Hockey,Hockey Women's Hockey,Gold
