Event,Season,Sex,Medal,sno,ID,Age,Height,Weight,Year
"Cycling Men's Team Pursuit, 4,000 metres",Summer,M,Bronze,145971.0,73257.0,23.0,182.0,73.0,1988.0
Cycling Men's Team Sprint,Summer,M,Bronze,75428.0,38293.0,26.0,180.0,87.0,2008.0
Diving Men's Platform,Summer,M,Bronze,113682.0,57318.0,23.5,172.0,65.0,1986.0
Diving Men's Springboard,Summer,M,Bronze,130726.5,65861.0,21.5,171.0,65.5,1986.0
Diving Men's Synchronized Platform,Summer,M,Bronze,87944.5,44582.0,23.0,172.0,65.0,2008.0
Diving Men's Synchronized Springboard,Summer,M,Bronze,150140.0,75498.5,23.0,174.0,71.0,2008.0
"Equestrianism Men's Dressage, Team",Summer,M,Bronze,220040.0,110536.0,46.0,167.0,62.0,1948.0
"Equestrianism Men's Jumping, Individual",Summer,M,Bronze,183051.5,91944.0,31.5,168.0,64.5,1938.0
"Equestrianism Men's Jumping, Team",Summer,M,Bronze,224359.5,112686.5,30.0,175.0,65.0,1944.0
"Equestrianism Men's Three-Day Event, Individual",Summer,M,Bronze,145116.0,72867.0,40.0,176.0,70.5,1958.0
"Equestrianism Men's Three-Day Event, Team",Summer,M,Bronze,134172.0,67551.0,29.0,174.0,70.0,1956.0
"Equestrianism Mixed Dressage, Individual",Summer,M,Bronze,121147.0,61257.0,40.0,183.0,70.0,1976.0
"Equestrianism Mixed Dressage, Team",Summer,M,Bronze,102999.5,52147.5,40.0,176.0,68.0,1992.0
"Equestrianism Mixed Jumping, Individual",Summer,M,Bronze,129679.0,65287.0,32.0,175.0,69.0,1980.0
"Equestrianism Mixed Jumping, Team",Summer,M,Bronze,108953.0,55088.0,35.0,178.0,72.0,1988.0
"Equestrianism Mixed Three-Day Event, Individual",Summer,M,Bronze,194488.5,97692.5,30.5,176.5,70.0,1978.0
"Equestrianism Mixed Three-Day Event, Team",Summer,M,Bronze,167071.0,83935.0,34.0,179.0,72.0,1984.0
"Fencing Men's Foil, Individual",Summer,M,Bronze,199452.0,100167.0,26.0,183.0,77.0,1988.0
"Fencing Men's Foil, Team",Summer,M,Bronze,155819.5,78231.0,25.0,182.0,73.0,1982.0
"Fencing Men's Sabre, Individual",Summer,M,Bronze,131598.0,66230.0,29.0,179.0,77.0,1984.0
"Fencing Men's Sabre, Team",Summer,M,Bronze,156611.0,78624.0,29.0,180.0,76.5,1976.0
"Fencing Men's epee, Individual",Summer,M,Bronze,124962.0,63086.0,28.0,186.0,82.0,1988.0
"Fencing Men's epee, Team",Summer,M,Bronze,142087.0,71312.0,27.0,185.0,78.0,1980.0
Figure Skating Men's Singles,Winter,M,Bronze,80737.0,40996.0,21.0,170.0,61.0,1992.0
Figure Skating Mixed Ice Dancing,Winter,M,Bronze,169259.5,85027.0,28.0,177.0,71.5,1996.0
Figure Skating Mixed Pairs,Winter,M,Bronze,167541.0,84179.0,28.0,177.0,74.0,1988.0
Figure Skating Mixed Team,Winter,M,Bronze,124510.0,62746.5,26.0,175.0,71.5,2014.0
Football Men's Football,Summer,M,Bronze,140371.0,70465.0,23.0,178.0,73.0,1984.0
Freestyle Skiing Men's Aerials,Winter,M,Bronze,120245.5,60635.5,22.0,172.5,70.0,2004.0
Freestyle Skiing Men's Halfpipe,Winter,M,Bronze,203491.0,102157.0,24.0,178.0,65.0,2014.0
Freestyle Skiing Men's Moguls,Winter,M,Bronze,85114.0,43174.0,26.0,175.0,74.0,2002.0
Freestyle Skiing Men's Ski Cross,Winter,M,Bronze,121969.5,61444.5,29.5,185.0,87.0,2012.0
Freestyle Skiing Men's Slopestyle,Winter,M,Bronze,80762.0,41011.0,19.0,183.0,73.0,2014.0
Golf Men's Individual,Summer,M,Bronze,128243.0,64576.0,38.0,193.0,86.0,2016.0
