Event,Season,Sex,Medal,Age,Height,Weight,Year
Swimming Men's 200 metres Freestyle,Summer,M,Silver,21.0,189.0,83.0,1992
Swimming Men's 200 metres Individual Medley,Summer,M,Silver,21.0,188.0,84.0,1996
Swimming Men's 4 x 100 metres Freestyle Relay,Summer,M,Silver,23.0,190.0,85.0,1996
Swimming Men's 4 x 100 metres Medley Relay,Summer,M,Silver,22.0,188.0,80.0,1992
Swimming Men's 4 x 200 metres Freestyle Relay,Summer,M,Silver,21.0,187.0,80.0,1984
"Swimming Men's 4,000 metres Freestyle",Summer,M,Silver,18.0,187.0,83.0,1900
Swimming Men's 400 metres Freestyle,Summer,M,Silver,21.0,185.0,76.0,1978
Swimming Men's 400 metres Individual Medley,Summer,M,Silver,21.0,185.0,77.5,1990
Swimming Men's 50 metres Freestyle,Summer,M,Silver,23.0,198.0,95.0,2004
Table Tennis Men's Doubles,Summer,M,Silver,24.0,172.0,63.5,1996
Table Tennis Men's Singles,Summer,M,Silver,26.5,175.0,74.5,2002
Table Tennis Men's Team,Summer,M,Silver,27.0,180.0,72.0,2012
Taekwondo Men's Featherweight,Summer,M,Silver,26.0,181.0,68.0,2008
Taekwondo Men's Flyweight,Summer,M,Silver,26.0,175.0,58.0,2008
Taekwondo Men's Heavyweight,Summer,M,Silver,23.0,201.0,97.0,2008
Taekwondo Men's Welterweight,Summer,M,Silver,25.0,188.0,80.0,2008
Tennis Men's Doubles,Summer,M,Silver,28.5,183.0,78.0,2000
Tennis Men's Singles,Summer,M,Silver,27.0,187.0,80.0,2000
Tennis Mixed Doubles,Summer,M,Silver,28.5,191.5,83.5,2014
Trampolining Men's Individual,Summer,M,Silver,23.0,173.0,68.0,2008
Triathlon Men's Olympic Distance,Summer,M,Silver,28.0,179.0,70.0,2008
Volleyball Men's Volleyball,Summer,M,Silver,27.0,195.0,88.0,1992
Water Polo Men's Water Polo,Summer,M,Silver,26.0,189.5,90.0,1988
Weightlifting Men's Bantamweight,Summer,M,Silver,24.0,157.0,58.0,1988
Weightlifting Men's Featherweight,Summer,M,Silver,26.0,158.0,60.0,1984
Weightlifting Men's Flyweight,Summer,M,Silver,22.5,155.5,55.0,1982
Weightlifting Men's Heavyweight,Summer,M,Silver,24.0,181.0,105.25,1966
Weightlifting Men's Heavyweight I,Summer,M,Silver,28.5,175.0,99.5,1986
Weightlifting Men's Heavyweight II,Summer,M,Silver,27.5,181.0,108.5,1986
Weightlifting Men's Light-Heavyweight,Summer,M,Silver,26.0,172.5,82.75,1986
Weightlifting Men's Lightweight,Summer,M,Silver,24.0,164.5,69.0,1986
Weightlifting Men's Middle-Heavyweight,Summer,M,Silver,24.0,175.0,91.5,1986
Weightlifting Men's Middleweight,Summer,M,Silver,26.5,167.5,75.75,1978
Weightlifting Men's Super-Heavyweight,Summer,M,Silver,27.0,183.0,134.0,1996
"Weightlifting Men's Unlimited, One Hand",Summer,M,Silver,26.0,175.0,98.0,1906
"Weightlifting Men's Unlimited, Two Hands",Summer,M,Silver,24.0,182.5,108.0,1901
"Wrestling Men's All-Around, Greco-Roman",Summer,M,Silver,23.0,178.0,87.5,1906
"Wrestling Men's Bantamweight, Freestyle",Summer,M,Silver,25.0,164.5,57.0,1978
"Wrestling Men's Bantamweight, Greco-Roman",Summer,M,Silver,26.0,163.0,57.0,1978
"Wrestling Men's Featherweight, Freestyle",Summer,M,Silver,25.0,168.0,62.0,1984
"Wrestling Men's Featherweight, Greco-Roman",Summer,M,Silver,24.5,165.0,62.0,1982
"Wrestling Men's Flyweight, Freestyle",Summer,M,Silver,24.0,160.5,53.5,1978
"Wrestling Men's Flyweight, Greco-Roman",Summer,M,Silver,24.0,159.5,52.0,1978
"Wrestling Men's Heavyweight, Freestyle",Summer,M,Silver,27.0,184.5,97.0,1978
"Wrestling Men's Heavyweight, Greco-Roman",Summer,M,Silver,28.0,184.0,100.0,1982
"Wrestling Men's Light-Flyweight, Freestyle",Summer,M,Silver,24.5,155.0,49.0,1982
"Wrestling Men's Light-Flyweight, Greco-Roman",Summer,M,Silver,26.0,157.0,51.0,1984
"Wrestling Men's Light-Heavyweight, Freestyle",Summer,M,Silver,27.0,180.0,90.0,1988
"Wrestling Men's Light-Heavyweight, Greco-Roman",Summer,M,Silver,25.0,182.0,90.0,1984
"Wrestling Men's Lightweight, Freestyle",Summer,M,Silver,26.0,169.0,67.0,1984
"Wrestling Men's Lightweight, Greco-Roman",Summer,M,Silver,26.0,170.0,69.0,1982
"Wrestling Men's Middleweight A, Greco-Roman",Summer,M,Silver,27.0,174.0,77.5,1912
"Wrestling Men's Middleweight, Freestyle",Summer,M,Silver,26.0,178.0,82.0,1980
"Wrestling Men's Middleweight, Greco-Roman",Summer,M,Silver,25.0,177.0,82.0,1984
"Wrestling Men's Super-Heavyweight, Freestyle",Summer,M,Silver,23.5,190.0,120.0,1994
